ElectionDate,ElectionName,ContestNumber,ContestName,PrecinctNumber,WardNumber,Candidate,Party,Votes
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,56,4,,CITYWIDE,4120
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,56,4,,CITYWIDE,253
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,56,4,Rhonda Henderson,NON,101
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,56,4,Ryan Tauriainen,NON,15
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,56,4,Elani Lawrence,NON,28
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,56,4,"Frazier L. O'Leary, Jr.",NON,109
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,56,4,WRITE-IN,NON,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,56,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,56,4,UNDER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,57,4,,CITYWIDE,3213
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,57,4,,CITYWIDE,145
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,57,4,UNDER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,57,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,57,4,WRITE-IN,NON,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,57,4,"Frazier L. O'Leary, Jr.",NON,50
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,57,4,Elani Lawrence,NON,13
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,57,4,Ryan Tauriainen,NON,6
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,57,4,Rhonda Henderson,NON,75
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,58,4,,CITYWIDE,2857
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,58,4,,CITYWIDE,158
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,58,4,Rhonda Henderson,NON,78
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,58,4,Ryan Tauriainen,NON,8
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,58,4,Elani Lawrence,NON,16
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,58,4,"Frazier L. O'Leary, Jr.",NON,55
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,58,4,WRITE-IN,NON,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,58,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,58,4,UNDER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,59,4,,CITYWIDE,3222
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,59,4,,CITYWIDE,292
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,59,4,UNDER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,59,4,OVER VOTES,,0
