ElectionDate,ElectionName,ContestNumber,ContestName,PrecinctNumber,WardNumber,Candidate,Party,Votes
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,16,2,DEM KISHAN PUTTA,DEM,94
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,16,2,DEM JORDAN GROSSMAN,DEM,184
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,16,2,DEM PATRICK KENNEDY,DEM,228
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,16,2,REP KATHERINE VENICE,REP,43
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,16,2,DEM BROOKE PINTO,DEM,592
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,16,2,DEM YILIN (ELLEN) ZHANG,DEM,37
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,16,2,DEM JOHN FANNING,DEM,92
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,16,2,Write-in,NPN,8
6/16/2020 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,17,2,,CITYWIDE,6883
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,17,2,,CITYWIDE,1446
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,17,2,Write-in,NPN,11
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,17,2,DEM JOHN FANNING,DEM,181
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,17,2,DEM YILIN (ELLEN) ZHANG,DEM,50
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,17,2,DEM BROOKE PINTO,DEM,558
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,17,2,REP KATHERINE VENICE,REP,58
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,17,2,DEM PATRICK KENNEDY,DEM,258
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,17,2,DEM JORDAN GROSSMAN,DEM,221
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,17,2,DEM KISHAN PUTTA,DEM,89
6/16/2020 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,129,2,,CITYWIDE,3951
